"A-204","A-673","A549/ATCC","ASPS-1","CHA-59","CHLA-10","CHLA-25","CHLA-258","CHLA-32","CHLA-9","CHP-100","COG-E-352","DDLS","ES-1","ES-2","ES-3","ES-4","ES-6","ES-7","ES-8","EW8","G-401","hMSC","HOS","Hs 132.T","Hs 706.T","Hs 729","Hs 913.T","HSSY-II","HT-1080","Hu09","JJ012","KHOS NP","KHOS-240S","KHOS-312H","LS141","MES-SA","MES-SA Dx5","MHM-25","MHM-8","MPNST","NHAC-kn","NHDF","NHOst","OHS","RD","RD-ES","Rh18","Rh28","Rh28 PX11/LPAM","Rh30","Rh36","Rh41","SAOS-2","SJCRH30(RMS 13)","SJSA-1","SK-ES-1","SK-LMS-1","SK-N-MC","SK-UT-1","SK-UT-1B","SkMC","ST8814","SW 1353","SW 684","SW 982","SYO-1","TC-32","TC-71","U-2 OS","VA-ES-BJ"
7.386158178,8.110138279,7.37323185,5,NA,8.010550182,7.928117993,7.844663963,7.68613278,NA,8.404503778,8.026410377,5,8.493494968,8.059981845,8.097997109,6.928117993,7.485452247,8.130181792,8.1837587,8.549750892,7.496209317,NA,8.171984936,5,5,5,5,8.230622674,8.003488328,6.061980903,NA,8.038104526,7.974694135,7.995678626,7.394694954,8.386158178,8.311580178,6.730487056,7.007004902,7.379863945,NA,NA,NA,8.512861625,7.92992176533333,8.276544328,5,5,NA,7.669586227,7.931814138,7.661543506,7.882728704,7.657577319,7.54668166,5,7.73754891,8.632644079,7.863279433,8.031984286,NA,7.276544328,7.987162775,5,7.384049948,7.931814138,8.016373713,8.139661993,7.411168274,7.826813732
5.663540266,6.215382707,5.179162549125,5,NA,5.469800302,6.476253533,6.110138279,6.500312917,NA,6.537602002,6.191789027,5.449771647,6.192464972,6.024108864,6.798602876,6.322393047,5.191789027,6,6.231361899,6.005682847,5.744727495,NA,6.772113295,5,5,5,5.240332155,6.505845406,6.09420412,5.222573178,NA,6.180456064,6.218244625,6.101274818,5.455931956,5.774690718,6.07007044,5.380906669,5.292429824,5.962573502,NA,NA,NA,6.338187314,5,5.866461092,5,5,NA,5.642065153,5,5,5.821023053,5,5.463441557,5.080398976,5.879426069,6.072629637,5.300162274,5.494850022,NA,5.790484985,6.042392713,5.244887734,6.041914151,7.995678626,6.970616222,6.336299075,5.772113295,5.721246399
5.025028006,5.619788758,5,5,NA,5,6.065501549,5.931814138,6.030118356,NA,5.777283529,6.118615343,5,5.310691141,5,6.133122186,5.48148606,5,5.166215625,5.165579296,5,5.742321425,NA,5,5,5,5,5,6.27083521,5.659555885,5.677780705,NA,5.289036881,5.369572125,5.287350298,5,5.428291168,5.679853714,5,5,5.434152181,NA,NA,NA,5.440093375,5,5,5,5,NA,5.210419288,5,5,5,5,5,5,5.754487332,5.341035157,5.196542884,5.211831629,NA,5,5.427128398,5,5.218244625,7.669586227,6.259637311,5.744727495,5.104577454,5.578396073
6.272458743,6.389339837,5.2882524388,5,NA,6.66756154,5.935542011,5.958607315,6.394694954,NA,6.329754147,6.375717904,5.714442691,6.744727495,6.563837353,6.675717545,6.725842151,6.283996656,6.679853714,6.590066877,6.671620397,6.903089987,NA,5.987162775,5,5,5.735182177,5.823908741,6.954677021,5.041914151,6.04383157,NA,5.53165267,5.576754126,5.512861625,5.539102157,5.326058001,6.08249449,5.342944147,5.53165267,5.180456064,NA,NA,NA,6.643974143,5.948847531,6.549750892,5,5.129596095,NA,6.514278574,6.137868621,6.084600165,6.057991947,6.543633967,5,6.869666232,5.779891912,6.665546249,6.630784143,6.388276692,NA,5.488116639,5.338187314,5.024568191,6.13667714,6.735182177,7.156767222,6.815308569,5.045757491,6.562249437
9.168770306,9.320572103,8.54011171725,7.54515514,NA,8.987162775,8.70333481,9.218963061,9.001740662,NA,9.341035157,8.906578315,9.404503778,9.785156152,9.086716098,9.122628654,9.777283529,9.438898616,9.332547047,9.494850022,9.295849483,9.818156412,NA,9.277366077,7.623423043,8.496209317,9.149966742,9.395773947,9.928117993,9.046240308,8.742321425,NA,8.709965389,8.759450752,8.759450752,8.787812396,9.8569852,7,9.552841969,9.256490235,8.391473966,NA,NA,NA,9.332547047,9.37182182033333,8.924453039,9.336299075,9.187755303,NA,9.679853714,9.782516056,9.09420412,9.034328029,9.539102157,8.974694135,9.185086819,8.809668302,9.467245621,9.03574037,9.373659633,NA,8.774690718,9.166215625,8.76700389,9.649751982,9.649751982,10.20273246,9.749579998,8.774690718,9.469800302
5.303643611,5.252588192,5,5,NA,5.714442691,5.088309841,5.019542108,5.308918508,NA,5,5.350665141,5.169411331,7.759450752,5.444905551,5.302770657,5.634512015,5.288192771,5.732828272,5.472370099,NA,6.449771647,NA,5.453457337,5,5,5,5.578396073,5.576754126,5,5.252588192,NA,5,5,5,5.294136288,5,5,5,5,5,NA,NA,NA,5.368556231,5.26273607866667,5.40560745,5,5,NA,5.621602099,5.698970004,5.721246399,5,5.518557371,5,5.655607726,5,5.657577319,5.537602002,5.387216143,NA,5,5,5,5.459670525,5.469800302,6.154281982,5.804100348,5,5.036684489
5.139063379,5.36251027,5,5,NA,5.692503962,5.673664139,5.643974143,6,NA,5.316052869,5.974694135,5,5.66756154,5.761953897,6.122053048,5.625251654,5.402304814,6.238072162,5.714442691,6.034328029,6.334419009,NA,5.515700161,5,5,5,5,6.13430394,5,5.488116639,NA,5,5,5,5.214670165,5,5.276544328,5,5.086186148,5,NA,NA,NA,5.627087997,5,5.798602876,5,5,NA,5.316052869,5.308918508,5,5.129011186,5.36251027,5,6.179798541,5,6.051098239,5.54668166,6.021363052,NA,5.061480275,5,5,5.477555766,6.586700236,6.334419009,6.014573526,5,5.279014256
5.142064735,5.314258261,5,5,NA,5.602059991,5.395773947,5.110138279,5.396855627,NA,5.086186148,5.293282218,5.297569464,5.649751982,5.311580178,5.684029655,5.463441557,5.412289035,5.73754891,5.353596274,5.416801226,6.326058001,NA,5.684029655,5,5,5,5.241845378,6.548213564,5,5.27083521,NA,5,5,5,5.171340103,5,5,5,5,5,NA,NA,NA,5.472370099,5.378823718,5.581698709,5,5,NA,5.459670525,5.522878745,5,5,5.521433504,5,5.823908741,5,5.754487332,5.419075024,5.485452247,NA,5,5.205511953,5,5.037630664,5.943095149,6.3400838,5.739928612,5,5.321481621
6.363512104,6.428291168,5.5788699576,5,NA,6.522878745,6.53165267,6.311580178,6.638272164,NA,6.298432015,6.671620397,6.218244625,6.876148359,6.649751982,6.742321425,6.71219827,6.54515514,6.946921557,6.492144128,6.725842151,7.349692477,NA,6.638272164,5,5,5.782516056,6.254925208,7.369572125,5.595166283,6.288192771,NA,5.317854924,5.571865206,5.769551079,6.384049948,6.623423043,6.156767222,5.954677021,5.966576245,5.679853714,NA,NA,NA,6.600326279,5.691301703,6.769551079,5.647817482,5.958607315,NA,6.573488739,6.519993057,5.812479279,6.139661993,6.373659633,5.787812396,6.829738285,5.795880017,6.920818754,6.490797478,6.838631998,NA,6.046240308,6.347753659,5.46470588,6.494850022,7.270025714,7.331614083,7.077274542,5.801342913,6.632644079
5.334419009,5.248720896,5.21909141028571,5.289036881,NA,5.304518324,5.141462802,5.140261434,5.22475374,NA,5.374687549,5.161780778,5.448550002,5.657577319,5.346787486,5.229147988,5.543633967,5.591760035,5.355561411,5.449771647,5.293282218,5.966576245,NA,5.974694135,5.325138859,5.41453927,5.721246399,5.349692477,6.062983893,5.14327111,5.242603971,NA,5.289882635,5.234331445,5.239577517,5.333482019,5.718966633,5.32330639,5.273272791,5.324221658,5.219682688,NA,NA,NA,5.401209493,5.51837833533333,5.294136288,5.705533774,5.27083521,NA,5.774690718,5.583359493,5.455931956,5.36552273,5.681936665,5.271646218,5.37675071,5.109578981,5.578396073,5.235823868,5.482804102,NA,5.360513511,5.869666232,5.772113295,6.204119983,5.876148359,5.974694135,5.573488739,5.627087997,5.970616222
