GeneSymbol,EntrezID
OR4F16,81399
FAM87A,157693
TTLL10,254173
B3GALT6,126792
SCNN1D,6339
PUSL1,126789
VWA1,64856
ATAD3C,219293
ATAD3A,55210
MMP23A,8511
CALML6,163688
PRKCZ,5590
SKI,6497
RER1,11079
PLCH2,9651
C1orf93,127281
ACTRT2,140625
PRDM16,63976
ARHGEF16,27237
TP73,7161
TPRG1L,127262
CCDC27,148870
DFFB,1677
AJAP1,55966
KCNAB2,8514
RNF207,388591
RNF207,388591
C1orf211,148645
LOC100130071,100130071
ESPN,83715
TAS1R1,80835
ZBTB48,3104
PHF13,148479
THAP3,90326
CAMTA1,23261
VAMP3,9341
PER3,8863
PARK7,11315
CA6,765
H6PD,9563
SPSB1,80176
SLC25A33,84275
PIK3CD,5293
NMNAT1,64802
RBP7,116362
UBE4B,10277
KIF1B,23095
PGD,5226
APITD1,378708
PEX14,5195
TARDBP,23435
ANGPTL7,10218
UBIAD1,29914
FBXO44,93611
FBXO6,26270
C1orf187,374946
AGTRAP,57085
CLCN6,1185
PLOD1,5351
MFN2,9927
MIIP,60672
TNFRSF8,943
TNFRSF1B,7133
VPS13D,55187
C1orf158,93190
PRAMEF1,65121
PRAMEF2,65122
PDPN,10630
PRDM2,7799
KAZ,23254
KAZ,23254
TMEM51,55092
EFHD2,79180
CTRC,11330
CELA2A,63036
CELA2B,51032
DNAJC16,23341
DDI2,84301
RSC1A1,6248
PLEKHM2,23207
SLC25A34,284723
FBLIM1,54751
SPEN,23013
C1orf64,149563
CLCNKA,1187
CLCNKB,1188
C1orf144,26099
NECAP2,55707
CROCC,9696
PADI1,29943
PADI3,51702
PADI4,23569
PADI6,353238
ARHGEF10L,55160
ACTL8,81569
IGSF21,84966
KLHDC7A,127707
PAX7,5081
MRTO4,51154
PQLC2,54896
RPS14,6208
C1orf151,440574
HTR6,3362
PLA2G5,5322
PLA2G2F,64600
UBXN10,127733
VWA5B1,127731
FAM43B,163933
CDA,978
PINK1,65018
NBPF3,84224
ALPL,249
CELA3B,23436
CELA3A,10136
HSPC157,29092
CDC42,998
ZBTB40,9923
EPHA8,2046
C1QA,712
C1QC,714
C1QB,713
EPHB2,2048
KDM1A,23028
C1orf213,148898
MDS2,259283
RPL11,6135
TCEB3,6924
C1orf128,57095
LYPLA2,11313
GRHL3,57822
NIPAL3,57185
RCAN3,11123
SRRM1,10250
CLIC4,25932
TMEM50A,23585
RHD,6007
TMEM50A,23585
LDLRAP1,26119
MAN1C1,57134
SEPN1,57190
FAM54B,56181
EXTL1,2134
PDIK1L,149420
GRRP1,79927
ZNF593,51042
CNKSR1,10256
CCDC21,64793
SH3BGRL3,83442
CD52,1043
LIN28A,79727
DHDDS,79947
HMGN2,3151
RPS6KA1,6195
ARID1A,8289
PIGV,55650
ZDHHC18,84243
SFN,2810
NUDC,10726
TRNP1,388610
WDTC1,23038
TMEM222,84065
SYTL1,84958
GPR3,2827
FAM76A,199870
STX12,23673
PPP1R8,5511
C1orf38,9473
SMPDL3B,27293
XKR8,55113
ATPIF1,93974
SESN2,83667
MED18,54797
RCC1,1104
TRNAU1AP,54952
RAB42,115273
GMEB1,10691
YTHDF2,51441
OPRD1,4985
EPB41,2035
PTPRU,10076
ZCCHC17,51538
SERINC2,347735
TINAGL1,64129
HCRTR1,3061
KHDRBS1,10657
TMEM39B,55116
KPNA6,23633
TXLNA,200081
CCDC28B,79140
IQCC,55721
EIF3I,8668
FAM167B,84734
LCK,3932
HDAC1,3065
TSSK3,81629
ZBTB8A,653121
RBBP4,5928
KIAA1522,57648
S100PBP,64766
HPCA,3208
ADC,113451
ZNF362,149076
ZSCAN20,7579
HMGB4,127540
C1orf94,84970
ZMYM1,79830
ZMYM4,9202
NCDN,23154
TFAP2E,339488
EIF2C4,192670
EIF2C1,26523
EIF2C3,192669
TEKT2,27285
ADPRHL2,54936
MAP7D1,55700
THRAP3,9967
C1orf113,79729
ZC3H12A,80149
DNALI1,7802
CDCA8,55143
MANEAL,149175
C1orf122,127687
UTP11L,51118
AKIRIN1,79647
NDUFS5,4725
MACF1,23499
MACF1,23499
BMP8A,353500
OXCT2,64064
BMP8A,353500
PPIE,10450
MFSD2A,84879
CAP1,10487
RLF,6018
ZMPSTE24,10269
SMAP2,64744
ZNF643,65243
ZNF642,339559
DEM1,64789
ZNF684,127396
NFYC,4802
KCNQ4,9132
CTPS,1503
GUCA2B,2981
RIMKLA,284716
PPCS,79717
CCDC30,728621
YBX1,4904
PPIH,10465
C1orf50,79078
ERMAP,114625
ZNF691,51058
WDR65,149465
TMEM125,128218
TIE1,7075
MPL,4352
CDC20,991
C1orf84,149469
KIAA0467,23334
PTPRF,5792
KDM4A,9682
ST3GAL3,6487
ARTN,9048
IPO13,9670
DPH2,1802
ATP6V0B,533
B4GALT2,8704
CCDC24,149473
KLF17,128209
DMAP1,55929
RNF220,55182
C1orf228,339541
KIF2C,11004
RPS8,6202
PLK3,1263
UROD,7389
HPDL,84842
TOE1,114034
MMACHC,25974
AKR1A1,10327
NASP,4678
TMEM69,51249
MAST2,23139
TSPAN1,10103
C1orf190,541468
RAD54L,8438
UQCRH,7388
NSUN4,387338
FAAH,2166
DMBX1,127343
CYP4B1,1580
CYP4X1,260293
CYP4Z1,199974
CYP4A22,284541
CMPK1,51727
FOXE3,2301
FOXD2,2306
ELAVL4,1996
CDKN2C,1031
RNF11,26994
OSBPL9,114883
BTF3L4,91408
ZFYVE9,9372
PLA2G12A,81579
PRPF38A,84950
GPX7,2882
FAM159A,348378
ZYG11B,79699
ZYG11A,440590
SCP2,6342
PODN,127435
CPT2,1376
DMRTB1,63948
DIO1,1733
LRRC42,115353
C1orf83,127428
MRPL37,51253
ACOT11,26027
C1orf175,374977
TTC4,7268
C1orf177,163747
TMEM61,199964
BSND,7809
PCSK9,255738
PRKAA2,5563
C8A,731
FGGY,55277
HOOK1,51361
NFIA,4774
MGC34796,414927
INADL,10207
L1TD1,54596
USP1,7398
ANGPTL3,27329
ATG4C,84938
FOXD3,27022
ALG6,29929
EFCAB7,84455
PGM1,5236
ROR1,4919
UBE2U,148581
CACHD1,57685
